"","wave","this_status","recoded","n","prop"
"67","i","Inactive care","Pensioner Couple",51,0.0350515463917526
"68","i","Inactive care","Single Adult",16,0.0109965635738832
"69","i","Inactive care","Single Parent",132,0.0907216494845361
"70","i","Inactive care","Single Pensioner",2,0.0013745704467354
"71","i","Inactive care","Small Adult",85,0.0584192439862543
"72","i","Inactive long term sick","Family with 1-2 Children",80,0.0690846286701209
"73","i","Inactive long term sick","Family with 3 or more Children",26,0.0224525043177893
"74","i","Inactive long term sick","Other Households",480,0.414507772020725
"75","i","Inactive long term sick","Pensioner Couple",62,0.0535405872193437
"76","i","Inactive long term sick","Single Adult",269,0.232297063903282
"77","i","Inactive long term sick","Single Parent",61,0.0526770293609672
"78","i","Inactive long term sick","Single Pensioner",48,0.0414507772020725
"79","i","Inactive long term sick","Small Adult",132,0.113989637305699
"80","i","Inactive other","Family with 1-2 Children",28,0.130232558139535
"81","i","Inactive other","Family with 3 or more Children",10,0.0465116279069767
"82","i","Inactive other","Other Households",102,0.474418604651163
"83","i","Inactive other","Pensioner Couple",18,0.0837209302325581
"84","i","Inactive other","Single Adult",18,0.0837209302325581
"85","i","Inactive other","Single Parent",13,0.0604651162790698
"86","i","Inactive other","Single Pensioner",3,0.013953488372093
"87","i","Inactive other","Small Adult",23,0.106976744186047
"88","i","Inactive retired","Family with 1-2 Children",29,0.0223938223938224
"89","i","Inactive retired","Family with 3 or more Children",1,0.000772200772200772
"90","i","Inactive retired","Other Households",333,0.257142857142857
"91","i","Inactive retired","Pensioner Couple",511,0.394594594594595
"92","i","Inactive retired","Single Adult",111,0.0857142857142857
"93","i","Inactive retired","Single Parent",6,0.00463320463320463
"94","i","Inactive retired","Single Pensioner",99,0.0764478764478764
"95","i","Inactive retired","Small Adult",205,0.158301158301158
"96","i","Inactive student","Family with 1-2 Children",347,0.165949306551889
"97","i","Inactive student","Family with 3 or more Children",195,0.0932568149210904
"98","i","Inactive student","Other Households",1236,0.591104734576757
"99","i","Inactive student","Single Adult",92,0.0439980870396939
"100","i","Inactive student","Single Parent",186,0.0889526542324247
"101","i","Inactive student","Small Adult",35,0.0167384026781444
"102","i","Unemployed","Family with 1-2 Children",172,0.129323308270677
"103","i","Unemployed","Family with 3 or more Children",87,0.0654135338345865
"104","i","Unemployed","Other Households",675,0.507518796992481
"105","i","Unemployed","Pensioner Couple",40,0.0300751879699248
"106","i","Unemployed","Single Adult",147,0.110526315789474
"107","i","Unemployed","Single Parent",92,0.0691729323308271
"108","i","Unemployed","Single Pensioner",15,0.0112781954887218
"109","i","Unemployed","Small Adult",102,0.0766917293233083
